species,department
capybara,accounting
capybara,aeronautics
duck,accounting
penguin,gardening
duck,accounting
moose,aeronautics
duck,accounting
capybara,aeronautics
koala,accounting
koala,accounting
moose,aeronautics
duck,accounting
moose,aeronautics
moose,accounting
moose,accounting
capybara,aeronautics
duck,accounting
moose,accounting
penguin,aeronautics
moose,accounting
capybara,gardening
koala,accounting
duck,accounting
penguin,accounting
capybara,accounting
duck,aeronautics
capybara,aeronautics
duck,accounting
duck,aeronautics
koala,accounting
capybara,aeronautics
capybara,aeronautics
penguin,aeronautics
moose,aeronautics
koala,accounting
duck,gardening
capybara,aeronautics
duck,accounting
duck,accounting
duck,accounting
koala,accounting
penguin,gardening
capybara,aeronautics
capybara,gardening
duck,accounting
duck,accounting
koala,accounting
moose,aeronautics
koala,accounting
moose,aeronautics
capybara,gardening
koala,aeronautics
koala,aeronautics
capybara,accounting
duck,accounting
moose,gardening
capybara,aeronautics
moose,accounting
moose,accounting
penguin,gardening
koala,accounting
capybara,accounting
penguin,accounting
capybara,gardening
capybara,accounting
duck,accounting
koala,accounting
duck,accounting
koala,accounting
penguin,accounting
duck,accounting
duck,accounting
koala,aeronautics
moose,gardening
capybara,aeronautics
moose,accounting
moose,aeronautics
capybara,accounting
koala,accounting
koala,aeronautics
moose,accounting
capybara,accounting
duck,accounting
duck,accounting
koala,accounting
duck,aeronautics
koala,accounting
penguin,accounting
duck,aeronautics
moose,accounting
capybara,aeronautics
moose,aeronautics
capybara,aeronautics
capybara,aeronautics
capybara,accounting
moose,accounting
capybara,aeronautics
penguin,accounting
duck,aeronautics
moose,aeronautics
koala,aeronautics
duck,accounting
duck,accounting
moose,accounting
moose,aeronautics
koala,aeronautics
capybara,aeronautics
duck,aeronautics
capybara,accounting
penguin,accounting
capybara,gardening
moose,accounting
moose,accounting
capybara,aeronautics
koala,gardening
koala,accounting
koala,accounting
penguin,accounting
duck,accounting
duck,aeronautics
moose,accounting
moose,accounting
penguin,accounting
koala,accounting
penguin,accounting
koala,accounting
capybara,aeronautics
moose,aeronautics
capybara,aeronautics
moose,accounting
capybara,accounting
moose,aeronautics
duck,aeronautics
capybara,aeronautics
capybara,aeronautics
capybara,aeronautics
koala,accounting
capybara,accounting
duck,accounting
moose,aeronautics
koala,accounting
moose,accounting
penguin,gardening
koala,aeronautics
moose,aeronautics
koala,accounting
penguin,accounting
moose,accounting
capybara,aeronautics
duck,accounting
duck,aeronautics
koala,aeronautics
koala,accounting
duck,accounting
duck,accounting
koala,accounting
capybara,accounting
koala,accounting
koala,accounting
duck,accounting
moose,accounting
capybara,aeronautics
penguin,accounting
capybara,aeronautics
moose,accounting
capybara,gardening
duck,accounting
duck,aeronautics
koala,aeronautics
koala,accounting
capybara,aeronautics
penguin,accounting
koala,accounting
capybara,accounting
penguin,accounting
moose,aeronautics
duck,accounting
duck,accounting
duck,accounting
koala,aeronautics
moose,aeronautics
duck,gardening
capybara,gardening
duck,accounting
duck,accounting
koala,aeronautics
duck,accounting
duck,accounting
duck,gardening
moose,accounting
capybara,aeronautics
penguin,accounting
koala,accounting
moose,accounting
capybara,accounting
capybara,accounting
koala,aeronautics
duck,accounting
